title_in_english,length_in_minutes,subtitle_in_danish,subtitle_in_portuguese,subtitle_in_german,title_in_spanish,subtitle_in_french,available_in_library,subtitle_in_italian,is_adult_product,has_next_title_in_series,title_acquisition_id,language,title,profile_name,content_type,title_in_portuguese,media_type,audible_collections,subtitle_in_spanish,ASIN,title_in_italian,ebook_read_along_support,publisher,title_in_french,title_in_german,content_delivery_type,last_title_in_series_release_date,title_in_danish,audiobook_narrator,subtitle_in_english,last_updated,marketplace,is_finished,product_name,acquisition_method,whispersync_for_voice_support,format_type,plan_tier,subtitle,ownership_type,purchase_date,ownership,authors,book_series_info
"Love at First Psych","275","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Love at First Psych","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0BRQW85G9","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Santino Fontana,Stephanie Einstein,Mary Ann Jacobs,William Merryn Hill,Emily Bauer,Matt Boren,Piper Goodeve,Gabra Zackman,Mia Jenness,Elliott Fullam,Petrea Burchard,Ralph Lister,Jack de Golia","Not Available","2025-05-28T18:01:00Z","www.audible.com","Yes","Love at First Psych","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-03-29T21:27:04Z","Active","Cara Bastone","Not Available"
"How to Lose a Guy Before Christmas","324","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","How to Lose a Guy Before Christmas","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0CMZ1QRHD","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Jason Clarke","Not Available","2025-05-28T17:38:15Z","www.audible.com","No","How to Lose a Guy Before Christmas","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2024-12-18T18:20:54Z","Active","A.J. Pine","Not Available"
"Misdirected","613","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Misdirected","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0DPQ6JVX9","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Nicola Coughlan,Gwilym Lee","Not Available","2025-05-28T07:59:33Z","www.audible.com","No","Misdirected","Not Available","No","unabridged","AccessViaMusic,US Minerva","Not Available","Not Available","2025-02-07T21:21:27Z","Active","Lucy Parker","Not Available"
"The Exception to the Rule","116","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Exception to the Rule","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVYF4CJ","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Marli Watson,Andrew Gibson","The Improbable Meet-Cute Collection","2025-05-25T01:59:03Z","www.audible.com","No","The Exception to the Rule","Prime","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-02-24T02:54:12Z","Revoked","Christina Lauren","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
"The Takeover","749","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Takeover","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","1799759121","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","CJ Bloom,Sebastian York","The Miles High Club, Book 2","2025-05-24T14:27:30Z","www.audible.com","No","The Takeover","KindleUnlimited","Yes","unabridged","Not Available","The Miles High Club, Book 2","Not Available","2024-03-10T23:05:55Z","Revoked","T L Swan","asin:B07YL82QW4,title:The Miles High Club"
"The Words","1010","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-2930424-2809854","en","The Words","Alex","Product","Not Available","audiobook","PENDING","Not Available","B09ZVK42N4","Not Available","Yes","Podium Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Teddy Hamilton,Erin Mallon","Not Available","2025-05-23T16:17:27Z","www.audible.com","No","The Words","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-12-08T04:16:00Z","Active","Ashley Jade","Not Available"
"The Casanova","845","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Casanova","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","1713614766","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","CJ Bloom,Ryan West","The Miles High Club, Book 3","2025-05-22T15:44:21Z","www.audible.com","No","The Casanova","KindleUnlimited","Yes","unabridged","Not Available","The Miles High Club, Book 3","Not Available","2024-03-26T11:03:40Z","Revoked","T L Swan","asin:B07YL82QW4,title:The Miles High Club"
"A Touch of Ruin","752","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Touch of Ruin","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","1705234046","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Meg Sylvan","Hades & Persephone, Book 2","2025-05-22T14:24:05Z","www.audible.com","No","A Touch of Ruin","Not Available","Yes","unabridged","AccessViaMusic","Hades & Persephone, Book 2","Not Available","2024-07-09T21:16:22Z","Active","Scarlett St. Clair","asin:B08HZF6PH1,title:Hades & Persephone"
"Consider Me","1242","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Consider Me","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0B99MVBT5","Not Available","No","Podium Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Kasha Kensington,Alex Kydd","Playing for Keeps, Book 1","2025-05-19T18:06:06Z","www.audible.com","No","Consider Me","Not Available","No","unabridged","AccessViaMusic,US Minerva","Playing for Keeps, Book 1","Not Available","2025-03-14T17:26:36Z","Active","Becka Mack","asin:B0B6FH5BC1,title:Playing for Keeps"
"The Do-Over","790","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Do-Over","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0B723894M","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","CJ Bloom,Sebastian York","The Miles High Club, Book 4","2025-04-29T14:09:29Z","www.audible.com","No","The Do-Over","KindleUnlimited","Yes","unabridged","Not Available","The Miles High Club, Book 4","Not Available","2024-03-27T11:15:01Z","Revoked","T L Swan","asin:B07YL82QW4,title:The Miles High Club"
"The Naughty, the Nice and the Nanny","251","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Naughty, the Nice and the Nanny","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09WJDNY19","Not Available","Yes","Audible Studios","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Vanessa Edwin,Aaron Shedlock","Holiday Brothers, Book 1","2025-04-28T16:50:32Z","www.audible.com","No","The Naughty, the Nice and the Nanny","Not Available","Yes","unabridged","AccessViaMusic","Holiday Brothers, Book 1","Not Available","2024-12-18T18:21:50Z","Active","Willa Nash","asin:B09WMKZPFB,title:Holiday Brothers"
"My Rules","739","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","My Rules","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DBN85FM3","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","CJ Bloom,Marcio Catalano","Kingston Lane, Book 2","2025-04-26T09:15:40Z","www.audible.com","No","My Rules","KindleUnlimited","Yes","unabridged","AccessViaMusic","Kingston Lane, Book 2","Not Available","2024-09-24T23:16:59Z","Revoked","T L Swan","asin:B0C745PRKL,title:Kingston Lane"
"A Murder to Remember","603","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Murder to Remember","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0CT5ZJ3YQ","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Brittany Pressley,Max Roll","Not Available","2025-04-26T09:06:46Z","www.audible.com","No","A Murder to Remember","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-26T20:11:32Z","Active","Brynn Kelly","Not Available"
"Maybe This Time","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Maybe This Time","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0CXYXDMRQ","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Zoë Chao,Noah Reid,full cast","Not Available","2025-04-26T02:54:37Z","www.audible.com","No","Maybe This Time","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-11T21:27:49Z","Active","Cara Bastone","Not Available"
"The Dream Guy Next Door","398","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Dream Guy Next Door","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B08MB7181Y","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Vanessa Edwin,Shane East","Not Available","2025-04-24T21:20:26Z","www.audible.com","No","The Dream Guy Next Door","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2025-04-24T21:20:26Z","Active","Lauren Blakely","Not Available"
"Hooked","540","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Hooked","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09K2MCS1P","Not Available","Yes","Blackstone Publishing","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Felicity Munroe,Rupert Hawthorne","The Never After Series, Book 1","2025-04-19T02:20:07Z","www.audible.com","No","Hooked","Not Available","Yes","unabridged","AccessViaMusic","The Never After Series, Book 1","Not Available","2024-07-08T12:09:19Z","Active","Emily McIntire","asin:B09K48KNK2,title:The Never After Series"
"The Fix Up","348","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Fix Up","Alex","Product","Not Available","audiobook","AYCL","Not Available","1799911438","Not Available","Yes","Blackstone Publishing","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Savannah Peachwood","The First Impressions Series, Book 1","2025-04-18T23:13:26Z","www.audible.com","No","The Fix Up","Not Available","Yes","unabridged","AccessViaMusic","The First Impressions Series, Book 1","Not Available","2024-04-18T17:26:11Z","Active","Tawna Fenske","asin:B088ZW9NX1,title:The First Impressions Series"
"Captivated by You","733","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-0642754-1760268","en","Captivated by You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B00OL7ONK6","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jill Redfield,Jeremy York","Crossfire, Book 4","2025-04-14T17:48:53Z","www.audible.com","Yes","Captivated by You","Purchase","Yes","unabridged","AyceRomance","Crossfire, Book 4","Not Available","2024-03-20T05:16:34Z","Active","Sylvia Day","asin:B009NS9ZI8,title:Crossfire Series"
"Wild Eyes","626","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6616168-7872266","en","Wild Eyes","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0D98QJPWL","Not Available","Yes","Elsie Silver Literary Inc.","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Teddy Hamilton,Savannah Peachwood","Not Available","2025-03-26T19:14:54Z","www.audible.com","No","Wild Eyes","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2025-02-21T20:57:38Z","Active","Elsie Silver","asin:B0CY1N2JTV,title:Rose Hill"
"Fixed on You","621","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-0154750-8592265","en","Fixed on You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B00J2ZLLKM","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Carly Robins","Not Available","2025-03-01T05:47:10Z","www.audible.com","No","Fixed on You","Purchase","Yes","unabridged","Not Available","Not Available","Not Available","2024-04-30T11:40:20Z","Active","Laurelin Paige","asin:B00KVPHGX8,title:Fixed"
"Forever with You","733","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-9533809-6867416","en","Forever with You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B00JG5WZ76","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Carly Robins","Not Available","2025-03-01T05:41:40Z","www.audible.com","No","Forever with You","Purchase","Yes","unabridged","Not Available","Not Available","Not Available","2024-05-02T11:37:18Z","Active","Laurelin Paige","asin:B00KVPHGX8,title:Fixed"
"American Queen","750","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","American Queen","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B071YF9J3C","Not Available","Yes","Tantor Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Stephanie Rose","American Queen Series, Book 1","2025-02-26T01:22:20Z","www.audible.com","Yes","American Queen","Not Available","Yes","unabridged","AyceRomance","American Queen Series, Book 1","Not Available","2024-04-06T04:19:28Z","Active","Sierra Simone","asin:B0721ZP8S9,title:American Queen Series"
"Romancing Mister Bridgerton","797","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Romancing Mister Bridgerton","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B06Y2GNSLR","Not Available","Yes","Recorded Books","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Rosalyn Landor","Not Available","2025-02-19T07:54:00Z","www.audible.com","No","Romancing Mister Bridgerton","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-04-18T16:59:58Z","Active","Julia Quinn","asin:B01A7RF7FI,title:Bridgertons"
"Reflected in You","619","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-6842494-5894654","en","Reflected in You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B009M8YHCI","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jill Redfield","A Crossfire Novel, Book 2","2025-01-31T16:48:09Z","www.audible.com","Yes","Reflected in You","Purchase","Yes","unabridged","AyceRomance","A Crossfire Novel, Book 2","Not Available","2024-03-18T21:50:16Z","Active","Sylvia Day","asin:B009NS9ZI8,title:Crossfire Series"
"The Stopover","778","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Stopover","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","1799748928","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Sebastian York,CJ Bloom","The Miles High Club, Book 1","2025-01-30T22:20:59Z","www.audible.com","Yes","The Stopover","KindleUnlimited","Yes","unabridged","Not Available","The Miles High Club, Book 1","Not Available","2024-03-04T00:25:23Z","Revoked","T L Swan","asin:B07YL82QW4,title:The Miles High Club"
"Lucky Suit","145","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Lucky Suit","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B07M79KY6L","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Zachary Webber,Andi Arndt","Not Available","2024-12-23T14:52:23Z","www.audible.com","Yes","Lucky Suit","Not Available","No","unabridged","US Minerva","Not Available","Not Available","2024-04-11T21:37:30Z","Active","Lauren Blakely","Not Available"
"An Offer from a Gentleman","742","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","An Offer from a Gentleman","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B01N1ME7ST","Not Available","Yes","Recorded Books","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Rosalyn Landor","Not Available","2024-12-20T00:33:34Z","www.audible.com","No","An Offer from a Gentleman","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-04-18T16:59:48Z","Active","Julia Quinn","asin:B01A7RF7FI,title:Bridgertons"
"Heidi's Guide to Four Letter Words","375","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Heidi's Guide to Four Letter Words","Alex","Product","Not Available","audiobook","AYCL","Not Available","B07SXD435V","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt","Not Available","2024-12-19T23:28:10Z","www.audible.com","No","Heidi's Guide to Four Letter Words","Not Available","No","original_recording","AyceRomance,US Minerva","Not Available","Not Available","2024-04-26T20:11:41Z","Active","Tara Sivec,Andi Arndt","Not Available"
"Still Hung Up on You","148","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Still Hung Up on You","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0CC36WCZY","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andrew Eiden,Luci Christian Bell","Not Available","2024-11-28T18:17:48Z","www.audible.com","Yes","Still Hung Up on You","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-11T21:40:10Z","Active","Liz Maverick","Not Available"
"Worst Wingman Ever","77","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Worst Wingman Ever","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVYCCZ2","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Zachary Webber","The Improbable Meet-Cute Collection","2024-11-25T08:00:27Z","www.audible.com","No","Worst Wingman Ever","KindleUnlimited","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-03-11T07:12:47Z","Revoked","Abby Jimenez","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
"Royal Valentine","121","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Royal Valentine","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVY153B","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Jesse Vilinsky","The Improbable Meet-Cute Collection","2024-11-25T07:56:31Z","www.audible.com","No","Royal Valentine","KindleUnlimited","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-03-11T07:13:22Z","Revoked","Sariah Wilson","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
"Mr. Hook-up","480","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Mr. Hook-up","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0C6YKN5DV","Not Available","Yes","Brilliance Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Alexander Cendese,Meg Sylvan","Hooked, Book 1","2024-09-27T11:36:34Z","www.audible.com","No","Mr. Hook-up","KindleUnlimited","Yes","unabridged","AccessViaMusic","Hooked, Book 1","Not Available","2024-09-20T11:26:39Z","Revoked","Marni Mann","asin:B0C74BNDB3,title:Hooked"
"The Marriage Auction: Book One","606","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","The Marriage Auction: Book One","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0BR8HRN66","Not Available","Yes","Brilliance Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Samantha Brentmoor,Amelie Griffin,Summer Morton,CJ Bloom,Will Thorne,Aiden Snow,Jeremy York,Hans Roberts,Zoe McKay","The Marriage Auction, Book 1","2024-09-17T18:16:51Z","www.audible.com","No","The Marriage Auction: Book One","KindleUnlimited","Yes","unabridged","Not Available","The Marriage Auction, Book 1","Not Available","2024-03-11T07:04:22Z","Revoked","Audrey Carlan","asin:B0BRBHNLC5,title:The Marriage Auction"
"P.S. It's Always Been You: Part 3","153","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","P.S. It's Always Been You: Part 3","Alex","Product","Not Available","audiobook","AYCL","Not Available","B083QPLSZC","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Andi Arndt,Saskia Maarleveld,Zachary Webber,Scott Eastwood","Not Available","2024-09-17T16:53:38Z","www.audible.com","No","P.S. It's Always Been You: Part 3","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-15T06:10:33Z","Active","Lauren Blakely","asin:B083TD6Z9W,title:P.S. It's Always Been You"
"Found in You","652","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-8011234-4950647","en","Found in You","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B00JG4DA9Y","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Carly Robins","Not Available","2024-09-16T07:15:37Z","www.audible.com","No","Found in You","Purchase","Yes","unabridged","Not Available","Not Available","Not Available","2024-05-01T03:45:30Z","Active","Laurelin Paige","asin:B00KVPHGX8,title:Fixed"
"One with You","871","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-7402119-6157018","en","One with You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B01D3ERCKA","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jill Redfield,Jeremy York","Crossfire, Book 5","2024-08-19T13:20:05Z","www.audible.com","Yes","One with You","Purchase","Yes","unabridged","AyceRomance","Crossfire, Book 5","Not Available","2024-03-21T02:38:57Z","Active","Sylvia Day","asin:B009NS9ZI8,title:Crossfire Series"
"The Royal Assignment","273","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Royal Assignment","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09KVJR2VP","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Shane East,Rachel Petladwala,Ali Ahn,Teddy Hamilton,Alex Knox,full cast","Not Available","2024-05-12T05:18:42Z","www.audible.com","Yes","The Royal Assignment","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-10T21:48:38Z","Active","Terence Gray,Erin Day,Ian Thake","Not Available"
"Never Have I Ever","500","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Never Have I Ever","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B07RXMCMND","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Amanda Ronconi,Jason Clarke","Not Available","2024-05-11T18:45:10Z","www.audible.com","No","Never Have I Ever","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-23T21:51:38Z","Active","Lauren Blakely","asin:B07YX6BB55,title:Always Satisfied"
"Rosie and the Dreamboat","74","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","Rosie and the Dreamboat","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVY7QFH","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Bailey Carr","The Improbable Meet-Cute Collection","2024-05-08T12:57:52Z","www.audible.com","No","Rosie and the Dreamboat","KindleUnlimited","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-03-11T07:12:47Z","Revoked","Sally Thorne","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
"33 Unplayed Voicemails","148","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","33 Unplayed Voicemails","Alex","Product","Not Available","audiobook","AYCL","Not Available","B0B9P1675T","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Stephanie Einstein,Greg Tremblay,Eric Yves Garcia,Daniel Henning,Anna Caputo,Corey Allen,Sara Sheckells","Not Available","2024-05-04T15:27:51Z","www.audible.com","Yes","33 Unplayed Voicemails","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-26T20:12:34Z","Active","Melissa de la Cruz","Not Available"
"Kismet","406","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Kismet","Alex","Product","Not Available","audiobook","AYCL","Not Available","B09QD41MT2","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Julia Whelan,Shane East","Not Available","2024-05-04T12:40:12Z","www.audible.com","No","Kismet","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-26T20:06:00Z","Active","Lauren Blakely","asin:B09L4PC2R7,title:Happy Endings"
"With Any Luck","71","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","REDACTED","en","With Any Luck","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B0CRVYQJS2","Not Available","Yes","Amazon Original Stories","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Amy McFadden","The Improbable Meet-Cute Collection","2024-04-25T20:54:00Z","www.audible.com","No","With Any Luck","KindleUnlimited","Yes","unabridged","Not Available","The Improbable Meet-Cute Collection","Not Available","2024-03-11T07:13:21Z","Revoked","Ashley Poston","asin:B0CRSHQPXF,title:The Improbable Meet-Cute collection"
